,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,final c data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ddmin,,,,,,,,,"probdd, shuffle",,,,,,,,probdd,,,,,,,,cdd shuffle,,,,,,,,cdd,,,,,,
,,,,"ddmin, average",,,,,,,,,"probdd, shuffle, average",,,,,,,,"probdd, average",,,,,,,,"cdd, shuffle, average",,,,,,,,"cdd, average",,,,
,,,time/s,size,# iteration,# test,time/h,time/format,,,,time/s,size,# iteration,# test,time/h,time/format,,,time/s,size,# iteration,# test,time/h,time/format,,,time/s,size,# iteration,# test,time/h,time/format,,,time/s,size,# iteration,# test,time/h,time/format
,xml-4c99b96-13,,1131.5,60,3,494,0.314,0:18:52,,,,870.2,60.6,3,334.8,0.242,0:14:30,,,987.6,60,3,304,0.274,0:16:28,,,,,,,,,,,989,60,3,309,0.275,0:16:29
,xml-4c99b96-14,,2147,102,4,987,0.596,0:35:47,,,,1687.4,102.6,3.4,600.2,0.469,0:28:07,,,2000.8,102,4,616,0.556,0:33:21,,,,,,,,,,,1534,102,3,504,0.426,0:25:34
,xml-4c99b96-15,,843,46,3,381,0.234,0:14:03,,,,788.4,46,3.6,296.6,0.219,0:13:08,,,707.6,46,3,226,0.197,0:11:48,,,,,,,,,,,729.4,46,3,244,0.203,0:12:09
,xml-4c99b96-16,,1366,67,3,658,0.379,0:22:46,,,,1188.6,67.6,3.2,414.4,0.330,0:19:49,,,1385.4,74,3,436,0.385,0:23:05,,,,,,,,,,,1124.6,70,3,409,0.312,0:18:45
,xml-4c99b96-17,,1360,67,3,658,0.378,0:22:40,,,,1309.6,67.6,3.2,414.4,0.364,0:21:50,,,1402,74,3,436,0.389,0:23:22,,,,,,,,,,,1120,70,3,409,0.311,0:18:40
,xml-4c99b96-18,,723.5,28,3,324,0.201,0:12:04,,,,491.6,28,2.8,164.2,0.137,0:08:12,,,485,25,3,135,0.135,0:08:05,,,,,,,,,,,410.2,25,3,137,0.114,0:06:50
,xml-4c99b96-19,,1729,81,4,793,0.480,0:28:49,,,,1797.8,82.2,3.8,539.6,0.499,0:29:58,,,1642.6,81,4,520,0.456,0:27:23,,,,,,,,,,,1894.8,81,6,710,0.526,0:31:35
,xml-4c99b96-2,,878,53,3,362,0.244,0:14:38,,,,1017.2,53.6,3.2,280.6,0.283,0:16:57,,,794.4,53,3,240,0.221,0:13:14,,,,,,,,,,,912,53,4,318,0.253,0:15:12
,xml-4c99b96-3,,1101.5,67,3,483,0.306,0:18:22,,,,1253.8,68.2,3.2,357.2,0.348,0:20:54,,,979.2,67,3,292,0.272,0:16:19,,,,,,,,,,,900,67,3,337,0.250,0:15:00
,xml-4c99b96-4,,1096.5,67,3,482,0.305,0:18:17,,,,1238.4,67,3.2,365.4,0.344,0:20:38,,,958,67,3,299,0.266,0:15:58,,,,,,,,,,,859.6,67,3,328,0.239,0:14:20
,xml-4c99b96-5,,1169.5,63,3,515,0.325,0:19:30,,,,1154.8,62.4,3,347,0.321,0:19:15,,,901,60,3,278,0.250,0:15:01,,,,,,,,,,,1029.2,60,4,364,0.286,0:17:09
,xml-4c99b96-6,,1258,81,3,511,0.349,0:20:58,,,,1338,82.2,2.8,380.8,0.372,0:22:18,,,1153.8,81,3,355,0.321,0:19:14,,,,,,,,,,,1056.2,87,3,441,0.293,0:17:36
,xml-4c99b96-7,,3398.5,115,3,1485,0.944,0:56:39,,,,2559.6,115,3.8,811,0.711,0:42:40,,,1980.8,115,3,701,0.550,0:33:01,,,,,,,,,,,1534.6,115,3,676,0.426,0:25:35
,xml-4c99b96-8,,925.5,42,3,422,0.257,0:15:26,,,,810.2,41.4,3,254.4,0.225,0:13:30,,,686.4,39,3,232,0.191,0:11:26,,,,,,,,,,,687.2,42,4,323,0.191,0:11:27
,xml-4c99b96-9,,884,53,3,368,0.246,0:14:44,,,,939.6,53,3,277.6,0.261,0:15:40,,,771.8,53,3,251,0.214,0:12:52,,,,,,,,,,,650.4,53,3,265,0.181,0:10:50
,xml-8ede045-1,,1152,48,3,499,0.320,0:19:12,,,,1232.4,60.6,3.2,389,0.342,0:20:32,,,1101.6,69,3,376,0.306,0:18:22,,,,,,,,,,,1137,69,4,487,0.316,0:18:57
,xml-8ede045-2,,316,17,3,132,0.088,0:05:16,,,,334.8,21.8,2.8,106.8,0.093,0:05:35,,,334.8,24,3,107,0.093,0:05:35,,,,,,,,,,,359.6,34,3,164,0.100,0:06:00
,xml-8ede045-3,,476,31,2,199,0.132,0:07:56,,,,431.2,31,2,133.6,0.120,0:07:11,,,383.6,31,2,129,0.107,0:06:24,,,,,,,,,,,312.8,31,2,134,0.087,0:05:13
,xml-8ede045-4,,577.5,31,3,250,0.160,0:09:38,,,,472.4,25.4,3,150.6,0.131,0:07:52,,,474,31,3,164,0.132,0:07:54,,,,,,,,,,,434.6,31,3,181,0.121,0:07:15
,xml-8ede045-5,,184.5,17,2,61,0.051,0:03:05,,,,245.6,19.8,2.4,72,0.068,0:04:06,,,160,17,2,48,0.044,0:02:40,,,,,,,,,,,203.8,17,3,80,0.057,0:03:24
,xml-8ede045-6,,1364.5,73,4,552,0.379,0:22:45,,,,1479,79.8,3.6,468.6,0.411,0:24:39,,,1169,66,4,392,0.325,0:19:29,,,,,,,,,,,1544.8,76,6,700,0.429,0:25:45
,xml-8ede045-7,,2850.5,106,3,1447,0.792,0:47:31,,,,1686.4,106.4,3,614.4,0.468,0:28:06,,,1510,106,3,632,0.419,0:25:10,,,,,,,,,,,1236.6,106,3,634,0.344,0:20:37
